id,name,address,city,province,region,baselineLevel,baselineSource,lat,lng,override_source,locality_hint
BR-RN-045,Bagno 53 - Le Spiagge Rimini,"Lungomare Augusto Murri 30/a, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0610610,12.5903061,GOOGLE_EARTH,
BR-RN-046,Bagno 54 - Le Spiagge Rimini,"Lungomare Augusto Murri 32, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0607795,12.5905723,GOOGLE_EARTH,
BR-RN-047,Bagno 55 - Le Spiagge Rimini,"Lungomare Augusto Murri 36/a, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0604744,12.5908893,GOOGLE_EARTH,
BR-RN-048,Bagno 56 Primo Sas Di Tacchi Gilberto E C.,"Lungomare Augusto Murri, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0601773,12.5911615,GOOGLE_EARTH,
BR-RN-049,Bagno 57 - Le Spiagge Rimini,"Lungomare Augusto Murri 36/a, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0598978,12.5915472,GOOGLE_EARTH,
BR-RN-050,Bagno 58 - Le Spiagge Rimini,"Lungomare Augusto Murri 38, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0597783,12.5915378,GOOGLE_EARTH,
BR-RN-051,Bagno 60,"Lungomare Giuseppe di Vittorio 4, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0592394,12.5921107,GOOGLE_EARTH,
BR-RN-052,Bagno 61,"Lungomare Giuseppe di Vittorio 6, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0590379,12.5923038,GOOGLE_EARTH,
BR-RN-053,Bagno 62 - Le Spiagge Rimini,"Lungomare Giuseppe di Vittorio 6/a, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0588121,12.5925101,GOOGLE_EARTH,
BR-RN-054,Bagno 63 Vittorio,"Lungomare Giuseppe di Vittorio, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0581071,12.5928170,GOOGLE_EARTH,
BR-RN-055,Bagno Dario 64,"Lungomare Giuseppe di Vittorio, 47900 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0576457,12.5936851,GOOGLE_EARTH,
BR-RN-056,Bagno 66 Rimini,"Lungomare Giuseppe di Vittorio, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0569950,12.5940306,GOOGLE_EARTH,
BR-RN-057,Bagno 67,"Lungomare Giuseppe di Vittorio 16A, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0559298,12.5953946,GOOGLE_EARTH,
BR-RN-058,Bagno 70,"Lungomare Giuseppe di Vittorio 18A, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0554122,12.5960113,GOOGLE_EARTH,
BR-RN-059,Bagno 71 Amarcord,"Lungomare Giuseppe di Vittorio 18/b, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0552825,12.5968542,GOOGLE_EARTH,
BR-RN-060,Bagno Claudio 72 Ondebeach,"Lungomare Giuseppe di Vittorio 20 A, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0549375,12.5964485,GOOGLE_EARTH,
BR-RN-061,Bagno 73 Riviera Ondebeach,"Lungomare Giuseppe di Vittorio 20/B, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0546599,12.5965333,GOOGLE_EARTH,
BR-RN-062,Bagni 75 Bulli,"Lungomare Giuseppe di Vittorio 20/D, 47924 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0542106,12.5971669,GOOGLE_EARTH,
BR-RN-063,Bagno 78 Sabbia d'Oro,"Lungomare Giuseppe di Vittorio 24, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0534266,12.5975675,GOOGLE_EARTH,
BR-RN-064,Bagno 79 Giovanni,"Lungomare Giuseppe di Vittorio 24, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0531118,12.5984129,GOOGLE_EARTH,
BR-RN-065,Spiaggia 80 Rimini,"Lungomare Giuseppe di Vittorio, 47924 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0527522,12.5988192,GOOGLE_EARTH,
BR-RN-066,Bagno 81,"Lungomare Giuseppe di Vittorio 28, 47924 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0523448,12.5991412,GOOGLE_EARTH,
BR-RN-067,Aloha Your Beach 83 - (Bagno 83),"Lungomare Giuseppe di Vittorio 30, 47924 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0519149,12.5995959,GOOGLE_EARTH,
BR-RN-068,Bagno 84 Graziano Rimini | Luxury Beach & Suite,"Lungomare Giuseppe di Vittorio 30a, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0515314,12.5998555,GOOGLE_EARTH,
BR-RN-069,Bagno 85 La Playa,"Lungomare Giuseppe di Vittorio 32, 47924 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0510882,12.6002415,GOOGLE_EARTH,
BR-RN-070,Bagno 85A Luca e Dea,"Lungomare Giuseppe di Vittorio 32/b, 47924 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0508761,12.6007599,GOOGLE_EARTH,
BR-RN-071,Bagno Gibo 85B,"Lungomare Giuseppe di Vittorio 34, 47924 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0506484,12.6010627,GOOGLE_EARTH,
BR-RN-072,Bagno 86 Lailai Island,"Lungomare Giuseppe di Vittorio 34/A, 47924 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0501234,12.6014132,GOOGLE_EARTH,
BR-RN-073,Bagno 86A Rimini Brand,"Lungomare Giuseppe di Vittorio 36a, 47921 Bellariva RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0493580,12.6019683,GOOGLE_EARTH,Bellariva
BR-RN-074,Bagno 87 Carlo,"47924 Bellariva RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0489679,12.6027024,GOOGLE_EARTH,Bellariva
BR-RN-075,Bagno 88 Vittorio,"Lungomare Giuseppe di Vittorio 38b, 47921 Bellariva RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0488435,12.6029290,GOOGLE_EARTH,Bellariva
BR-RN-076,Bagno 89 Lele,"Lungomare Giuseppe di Vittorio 38C, 47924 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,2,PRED,44.0486806,12.6032191,GOOGLE_EARTH,
